PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,longitude,latitude
1,Nam Poui,Nam Poui,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,101.31519,18.62056
1,Phou Khao Khuay,Phou Khao Khuay,National Park,National Park,National,VI,Not Applicable,Designated,2021,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,103.01405,18.41653
1,Xe Pian,Xe Pian,National Park,National Park,National,VI,Not Applicable,Designated,2021,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.1327,14.47949
1,Phou Daen Din,Phou Daen Din,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,102.365,21.98342
1,Phou Xang He,Phou Xang He,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,105.73686,16.86932
1,Dong Ampham,Dong Ampham,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,107.40704,14.94743
1,Xe Bang Nouan,Xe Bang Nouan,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,105.93381,15.88134
1,Dong Hua Sao,Dong Hua Sao,National Park,National Park,National,VI,Not Applicable,Designated,2021,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.09771,15.00189
1,Phou Xieng Thong,Phou Xieng Thong,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,105.6341,15.57487
1,Nam Kading,Nam Kading,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Process,State Verified,1982,104.2655,18.40821
1,Nam Xam,Nam Xam,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,104.58525,20.13072
1,Phou Hin Poun,Phou Hin Poun,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Process,State Verified,1982,104.79854,17.78918
1,Nam Ha,Nam Ha,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,101.28292,20.93266
1,Nam Kan,Nam Kan,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2008,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,100.82246,20.54304
1,Xe Xap,Xe Xap,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1996,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,107.01816,16.11529
1,Phou Pha Nang,Phou Pha Nang,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,102.33939,18.25048
1,Dong Phou Vieng,Dong Phou Vieng,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.23648,16.40204
1,Nam Et-Phouloey,Nam Et-Phouloey,National Park,National Park,National,II,Not Applicable,Designated,2019,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,103.40472,20.38265
1,Hin Nam No,Hin Nam No,National Park,National Park,National,II,Not Applicable,Designated,2020,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,105.93056,17.41807
1,Hin Nam No,Hin Nam No,National Park,National Park,National,II,Not Applicable,Designated,2020,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,106.18871,17.2828
1,Nakai-Nam Teun,Nakai-Nam Teun,National Park,National Park,National,II,Not Applicable,Designated,2019,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,105.3302,17.91205
1,Phou Hi Phi,Phou Hi Phi,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,102.20626,20.75584
1,Phou Sabot Phoungchong,Phou Sabot Phoungchong,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2011,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,103.84083,19.82282
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.3362,16.92993
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.4893,16.95038
1,LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,106.48913,16.95028
